"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5066","Разлогин: успешный логаут. Редирект на Account Login, отображается страница логина","finalsurge","2026-07-19","passed","2026-07-19","tests.LoginTest","thread1","tests.LoginTest","checkSuccessfullLogout"
"","1864","Редирект на Can/t sign in: запросить email","finalsurge","2026-07-19","passed","2026-07-19","tests.LoginTest","thread1","tests.LoginTest","checkRequestNewPassword"
"","3309","Успешная регистрация в системе","finalsurge","2026-07-19","passed","2026-07-19","tests.RegisterTest","thread1","tests.RegisterTest","checkSuccessfullRegistration"
"","1484","Авторизация с пустым полем login. Ошибка входа: пустое поле Email","finalsurge","2026-07-19","passed","2026-07-19","tests.LoginTest","thread1","tests.LoginTest","checkLoginWithEmptyLogin"
"","14360","Проверка перехода на страницу логина","finalsurge","2026-07-19","passed","2026-07-19","tests.RegisterTest","thread1","tests.RegisterTest","checkLoginLink"
"","4287","Проверка отображения страницы","finalsurge","2026-07-19","passed","2026-07-19","tests.CustomerSupportTest","thread2","tests.CustomerSupportTest","checkCustomerSupportPage"
"","4757","Отображается сообщение об успешной отправке фидбека","finalsurge","2026-07-19","passed","2026-07-19","tests.FeedBackTest","thread2","tests.FeedBackTest","checkSendFeedBack"
"","5186","Ссылка sign in. Проверка перехода на страницу регистрации","finalsurge","2026-07-19","passed","2026-07-19","tests.LoginTest","thread1","tests.LoginTest","checkRegistration"
"","2427","Авторизация с невалидным полем login. Ошибка входа: email без @","finalsurge","2026-07-19","passed","2026-07-19","tests.LoginTest","thread1","tests.LoginTest","checkLoginWithUnvalidLogin"
"","1300","Авторизация с email, которого нет в системе. Сообщение об ошибке: `""Invalid login credentials. Please try again.""`","finalsurge","2026-07-19","passed","2026-07-19","tests.LoginTest","thread1","tests.LoginTest","checkUnregisteredLogin"
"","4695","Отображается страница фидбека и текст Provide Feedback","finalsurge","2026-07-19","passed","2026-07-19","tests.FeedBackTest","thread2","tests.FeedBackTest","checkFeedBackPage"
"","5392","Успешный вход с валидными email и паролем","finalsurge","2026-07-19","passed","2026-07-19","tests.LoginTest","thread1","tests.LoginTest","checkSuccessfullLogin"
"","3125","Проверка валидации некорректного email","finalsurge","2026-07-19","passed","2026-07-19","tests.RegisterTest","thread1","tests.RegisterTest","checkValidMessageForEmailForRegistration"
"","5094","Чекбокс Remember me: отображается, не прожат. После клика прожат","finalsurge","2026-07-19","passed","2026-07-19","tests.LoginTest","thread1","tests.LoginTest","loginWithRememberMeCheckbox"
"","1374","Авторизация с password, которого нет в системе. Сообщение об ошибке: `""Invalid login credentials. Please try again.""`","finalsurge","2026-07-19","passed","2026-07-19","tests.LoginTest","thread1","tests.LoginTest","checkUnregisteredPassword"
"","13110","Авторизация с пустыми полями login и password. Ошибка входа: пустое поле Email. Ошибка входа: пустое поле Password ","finalsurge","2026-07-19","passed","2026-07-19","tests.LoginTest","thread1","tests.LoginTest","checkLoginWithEmptyFields"
"","1306","Проверка валидации пустых полей","finalsurge","2026-07-19","passed","2026-07-19","tests.RegisterTest","thread1","tests.RegisterTest","checkValidMessagesForEmptyRegistration"
"","2211","Проверка валидации слабого пароля","finalsurge","2026-07-19","passed","2026-07-19","tests.RegisterTest","thread1","tests.RegisterTest","checkValidMessageForWeakPassword"
"","3818","Авторизация с пустым полем password. Ошибка входа: пустое поле Password","finalsurge","2026-07-19","passed","2026-07-19","tests.LoginTest","thread1","tests.LoginTest","checkLoginWithEmptyPassword"
