"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11970","При нажатии стрелки месяц корректно переключается вперед","finalsurge","2026-07-25","passed","2026-07-25","tests.CalendarTest","thread1","tests.CalendarTest","checkCalendarMonthNavigationToTheRight"
"","8880","Открывается модальное окно или страница с деталями тренировки","finalsurge","2026-07-25","passed","2026-07-25","tests.CalendarTest","thread1","tests.CalendarTest","checkFullCalendarCell"
"","12872","После изменения полей и сохранения данные обновляются","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkUpdateWorkout"
"","15669","Появляется диалог подтверждения; после подтверждения тренировка удаляется из списка","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkDeleteWorkout"
"","3941","Авторизация с пустым полем password. Ошибка входа: пустое поле Password","finalsurge","2026-07-25","passed","2026-07-25","tests.LoginTest","thread1","tests.LoginTest","checkLoginWithEmptyPassword"
"","3997","Доступны типы: Run, Bike, Swim, Custom. Выбранный тип отображается в форме","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkActivityTypeExistence"
"","9929","Разные типы активности (Run, Bike, Swim, Custom) отображаются разными цветами","finalsurge","2026-07-25","passed","2026-07-25","tests.CalendarTest","thread1","tests.CalendarTest","checkActivityColors"
"","8622","Календарь показывает месяц и год","finalsurge","2026-07-25","passed","2026-07-25","tests.CalendarTest","thread1","tests.CalendarTest","checkCalendarActualMonthExistence"
"","3197","Проверка валидации пустых полей","finalsurge","2026-07-25","passed","2026-07-25","tests.RegisterTest","thread1","tests.RegisterTest","checkValidMessagesForEmptyRegistration"
"","3975","Проверка валидации некорректного email","finalsurge","2026-07-25","passed","2026-07-25","tests.RegisterTest","thread1","tests.RegisterTest","checkValidMessageForEmailForRegistration"
"","2000","Авторизация с email, которого нет в системе. Сообщение об ошибке: `""Invalid login credentials. Please try again.""`","finalsurge","2026-07-25","passed","2026-07-25","tests.LoginTest","thread1","tests.LoginTest","checkUnregisteredLogin"
"","18396","Виджет показывает 6 строк для 6 недель","finalsurge","2026-07-25","passed","2026-07-25","tests.DashboardTest","thread2","tests.DashboardTest","checkSixWeeksWidget"
"","2309","Авторизация с невалидным полем login. Ошибка входа: email без @","finalsurge","2026-07-25","passed","2026-07-25","tests.LoginTest","thread1","tests.LoginTest","checkLoginWithUnvalidLogin"
"","2359","Проверка валидации слабого пароля","finalsurge","2026-07-25","passed","2026-07-25","tests.RegisterTest","thread1","tests.RegisterTest","checkValidMessageForWeakPassword"
"","1556","Авторизация с password, которого нет в системе. Сообщение об ошибке: `""Invalid login credentials. Please try again.""`","finalsurge","2026-07-25","passed","2026-07-25","tests.LoginTest","thread1","tests.LoginTest","checkUnregisteredPassword"
"","1352","Авторизация с пустым полем login. Ошибка входа: пустое поле Email","finalsurge","2026-07-25","passed","2026-07-25","tests.LoginTest","thread1","tests.LoginTest","checkLoginWithEmptyLogin"
"","13458","Успешная регистрация в системе","finalsurge","2026-07-25","passed","2026-07-25","tests.RegisterTest","thread1","tests.RegisterTest","checkSuccessfullRegistration"
"","6588","Чекбокс Remember me: отображается, не прожат. После клика прожат","finalsurge","2026-07-25","passed","2026-07-25","tests.LoginTest","thread1","tests.LoginTest","loginWithRememberMeCheckbox"
"","10114","Календарь выбора даты открывается, дата устанавливается корректно","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkCalendarActualMonthExistence"
"","12521","Поля Title и Description принимают текст, сохраняются после создания","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkTtitleDescriptionExistence"
"","9770","Поля Distance, Duration, Pace заполняются и сохраняются корректно","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkIntervalExistence"
"","10669","При нажатии стрелки месяц корректно переключается назад ","finalsurge","2026-07-25","passed","2026-07-25","tests.CalendarTest","thread1","tests.CalendarTest","checkCalendarMonthNavigationToTheLeft"
"","16322","После сохранения новое имя отображается в профиле и шапке сайта","finalsurge","2026-07-25","passed","2026-07-25","tests.UserProfileTest","thread1","tests.UserProfileTest","checkEditNameSurname"
"","11628","Успешный вход с валидными email и паролем","finalsurge","2026-07-25","passed","2026-07-25","tests.LoginTest","thread1","tests.LoginTest","checkSuccessfullLogin"
"","3843","Успешный переход на страницу дашборда","finalsurge","2026-07-25","passed","2026-07-25","tests.DashboardTest","thread2","tests.DashboardTest","openDashboardPage"
"","15434","Дата выбирается через календарь ","finalsurge","2026-07-25","passed","2026-07-25","tests.DailyVitalsTest","thread2","tests.DailyVitalsTest","checkSelectDate"
"","10556","Дропдаун работает и ведёт на соответствующую страницу","finalsurge","2026-07-25","passed","2026-07-25","tests.DashboardTest","thread2","tests.DashboardTest","checkDropdownsOnPAge"
"","6329","Нет бокового календаря ","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkCancelButton"
"","2554","Редирект на Can/t sign in: запросить email","finalsurge","2026-07-25","passed","2026-07-25","tests.LoginTest","thread1","tests.LoginTest","checkRequestNewPassword"
"","14574","Настройки видимости профиля сохраняются","finalsurge","2026-07-25","passed","2026-07-25","tests.UserProfileTest","thread1","tests.UserProfileTest","checkPrivacy"
"","12688","Страница TeamForum: красное инфосообщение на странице об органичении доступа","finalsurge","2026-07-25","passed","2026-07-25","tests.DashboardTest","thread2","tests.DashboardTest","checkMessageBoardPage"
"","17816","Выбор типа тренировки","finalsurge","2026-07-25","passed","2026-07-25","tests.UserProfileTest","thread1","tests.UserProfileTest","checkSettingsTrainningChange"
"","20874","Выбор языка типа тренировки","finalsurge","2026-07-25","passed","2026-07-25","tests.UserProfileTest","thread1","tests.UserProfileTest","checkSettingsLanguageChange"
"","14804","Чекбоксы on/off - сохранить изменения ","finalsurge","2026-07-25","passed","2026-07-25","tests.UserProfileTest","thread1","tests.UserProfileTest","checkCalendarSyncChange"
"","9959","Переход на страницу с ссылками на часы ","finalsurge","2026-07-25","passed","2026-07-25","tests.DashboardTest","thread2","tests.DashboardTest","checkGarminButton"
"","8131","Проверка отображения страницы","finalsurge","2026-07-25","passed","2026-07-25","tests.CustomerSupportTest","thread2","tests.CustomerSupportTest","checkCustomerSupportPage"
