"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5493","Виджет показывает 6 строк для 6 недель","finalsurge","2026-07-22","passed","2026-07-22","tests.DashboardTest","thread2","tests.DashboardTest","checkSixWeeksWidget"
"","5177","Появляется диалог подтверждения; после Cancel тренировка не удаляется","finalsurge","2026-07-22","passed","2026-07-22","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkCancelDeleteWorkout"
"","3828","Поля Distance, Duration, Pace заполняются и сохраняются корректно","finalsurge","2026-07-22","passed","2026-07-22","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkIntervalExistence"
"","9096","Выбор типа тренировки","finalsurge","2026-07-22","passed","2026-07-22","tests.UserProfileTest","thread1","tests.UserProfileTest","checkSettingsTrainningChange"
"","1572","Авторизация с пустым полем password. Ошибка входа: пустое поле Password","finalsurge","2026-07-22","passed","2026-07-22","tests.LoginTest","thread1","tests.LoginTest","checkLoginWithEmptyPassword"
"","3546","Доступны типы: Run, Bike, Swim, Custom. Выбранный тип отображается в форме","finalsurge","2026-07-22","passed","2026-07-22","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkActivityTypeExistence"
"","4914","Отображается сообщение об ошибке `""*Please select a valid Activity Type.""`","finalsurge","2026-07-22","passed","2026-07-22","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkEmptyNameWorkout"
"","4699","Успешная регистрация в системе","finalsurge","2026-07-22","passed","2026-07-22","tests.RegisterTest","thread1","tests.RegisterTest","checkSuccessfullRegistration"
"","3976","Проверка отображения страницы","finalsurge","2026-07-22","passed","2026-07-22","tests.CustomerSupportTest","thread2","tests.CustomerSupportTest","checkCustomerSupportPage"
"","5543","Успешный переход на страницу дашборда","finalsurge","2026-07-22","passed","2026-07-22","tests.DashboardTest","thread2","tests.DashboardTest","openDashboardPage"
"","5839","После подтверждения запись отредактирована","finalsurge","2026-07-22","passed","2026-07-22","tests.DailyVitalsTest","thread2","tests.DailyVitalsTest","checkEdditVital"
"","2261","Редирект на Can/t sign in: запросить email","finalsurge","2026-07-22","passed","2026-07-22","tests.LoginTest","thread1","tests.LoginTest","checkRequestNewPassword"
"","13690","Выбор языка типа тренировки","finalsurge","2026-07-22","passed","2026-07-22","tests.UserProfileTest","thread1","tests.UserProfileTest","checkSettingsLanguageChange"
