"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Login component","11","0","","0"
"0","","5","WorkoutReport component","0","0","","0"
"0","","4","Workouts component","8","0","","0"
"0","","8","Dashboard component","0","0","","0"
"0","","0","Register component","5","0","","0"
"0","","1","CustomerSupport component","0","0","","0"
"0","","3","UserProfile component","5","0","","0"
"0","","4","DailyVitals component","1","0","","0"
"0","","8","Calendar component","0","0","","0"
"0","","2","FeedBack component","0","0","","0"
