"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5023","Редирект на Can/t sign in: запросить email","finalsurge","2026-07-21","passed","2026-07-21","tests.LoginTest","thread1","tests.LoginTest","checkRequestNewPassword"
"","5006","Таблица с агрегированными данными: кол-во тренировок, общая дистанция, длительность","finalsurge","2026-07-21","failed","2026-07-21","tests.WorkoutReportTest","thread2","tests.WorkoutReportTest","checkReportForListView"
"","2345","Авторизация с пустым полем password. Ошибка входа: пустое поле Password","finalsurge","2026-07-21","passed","2026-07-21","tests.LoginTest","thread1","tests.LoginTest","checkLoginWithEmptyPassword"
"","6724","После изменения полей и сохранения данные обновляются","finalsurge","2026-07-21","failed","2026-07-21","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkUpdateWorkout"
"","6980","Разлогин: успешный логаут. Редирект на Account Login, отображается страница логина","finalsurge","2026-07-21","passed","2026-07-21","tests.LoginTest","thread1","tests.LoginTest","checkSuccessfullLogout"
"","4348","Поля Distance, Duration, Pace заполняются и сохраняются корректно","finalsurge","2026-07-21","passed","2026-07-21","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkIntervalExistence"
"","15361","Дропдаун работает и ведёт на соответствующую страницу","finalsurge","2026-07-21","failed","2026-07-21","tests.DashboardTest","thread2","tests.DashboardTest","checkDropdownsOnPAge"
"","1929","Проверка валидации некорректного email","finalsurge","2026-07-21","passed","2026-07-21","tests.RegisterTest","thread1","tests.RegisterTest","checkValidMessageForEmailForRegistration"
"","15763","Проверка отображения страницы","finalsurge","2026-07-21","failed","2026-07-21","tests.CustomerSupportTest","thread2","tests.CustomerSupportTest","checkCustomerSupportPage"
"","18391","Выбор типа тренировки","finalsurge","2026-07-21","failed","2026-07-21","tests.UserProfileTest","thread1","tests.UserProfileTest","checkSettingsTrainningChange"
