"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2648","Появляется форма быстрого добавления тренировки на выбранную дату","finalsurge","2026-07-25","passed","2026-07-25","tests.CalendarTest","thread1","tests.CalendarTest","checkEmptyCalendarCell"
"","2433","Доступны типы: Run, Bike, Swim, Custom. Выбранный тип отображается в форме","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkActivityTypeExistence"
"","4066","Переход на страницу с ссылками на часы ","finalsurge","2026-07-25","passed","2026-07-25","tests.DashboardTest","thread2","tests.DashboardTest","checkGarminButton"
"","3650","Дата выбирается через календарь ","finalsurge","2026-07-25","passed","2026-07-25","tests.DailyVitalsTest","thread2","tests.DailyVitalsTest","checkSelectDate"
"","17137","Чекбоксы on/off - сохранить изменения ","finalsurge","2026-07-25","passed","2026-07-25","tests.UserProfileTest","thread1","tests.UserProfileTest","checkCalendarSyncChange"
"","3105","Авторизация с невалидным полем login. Ошибка входа: email без @","finalsurge","2026-07-25","passed","2026-07-25","tests.LoginTest","thread1","tests.LoginTest","checkLoginWithUnvalidLogin"
"","2616","Разлогин: успешный логаут. Редирект на Account Login, отображается страница логина","finalsurge","2026-07-25","passed","2026-07-25","tests.LoginTest","thread1","tests.LoginTest","checkSuccessfullLogout"
"","5927","Поля Distance, Duration, Pace заполняются и сохраняются корректно","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkIntervalExistence"
"","3107","Проверка валидации слабого пароля","finalsurge","2026-07-25","passed","2026-07-25","tests.RegisterTest","thread1","tests.RegisterTest","checkValidMessageForWeakPassword"
"","2387","Календарь выбора даты открывается, дата устанавливается корректно","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkCalendarActualMonthExistence"
"","12427","Поля Weight, Resting HR, Sleep Hours и др. заполняются и сохраняются ","finalsurge","2026-07-25","passed","2026-07-25","tests.DailyVitalsTest","thread2","tests.DailyVitalsTest","checkAddVital"
"","45088","Чекбоксы вкл/выкл сохраняются, настройки применяются ","finalsurge","2026-07-25","passed","2026-07-25","tests.UserProfileTest","thread1","tests.UserProfileTest","checkNotification"
"","3175","Отображается сообщение об ошибке `""*Please select a valid Activity Type.""`","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkEmptyNameWorkout"
"","3064","Открывается модальное окно или страница с деталями тренировки","finalsurge","2026-07-25","passed","2026-07-25","tests.CalendarTest","thread1","tests.CalendarTest","checkFullCalendarCell"
"","14620","Успешная регистрация в системе","finalsurge","2026-07-25","passed","2026-07-25","tests.RegisterTest","thread1","tests.RegisterTest","checkSuccessfullRegistration"
"","10489","После подтверждения запись отредактирована","finalsurge","2026-07-25","passed","2026-07-25","tests.DailyVitalsTest","thread2","tests.DailyVitalsTest","checkEdditVital"
"","4539","Открывается редактируемое окно     Workout Comment","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutReportTest","thread2","tests.WorkoutReportTest","checkReportComment"
"","10659","Виджет показывает 6 строк для 6 недель","finalsurge","2026-07-25","passed","2026-07-25","tests.DashboardTest","thread2","tests.DashboardTest","checkSixWeeksWidget"
"","12251","Выбор типа тренировки","finalsurge","2026-07-25","passed","2026-07-25","tests.UserProfileTest","thread1","tests.UserProfileTest","checkSettingsTrainningChange"
"","2847","Страница TeamForum: красное инфосообщение на странице об органичении доступа","finalsurge","2026-07-25","passed","2026-07-25","tests.DashboardTest","thread2","tests.DashboardTest","checkMessageBoardPage"
"","5091","При выборе даты данные на графиках и в таблице фильтруются по неделе","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutReportTest","thread2","tests.WorkoutReportTest","checkReportForWeek"
"","13704","Проверка отображения страницы","finalsurge","2026-07-25","passed","2026-07-25","tests.CustomerSupportTest","thread2","tests.CustomerSupportTest","checkCustomerSupportPage"
"","19280","При нажатии стрелки месяц корректно переключается вперед","finalsurge","2026-07-25","passed","2026-07-25","tests.CalendarTest","thread1","tests.CalendarTest","checkCalendarMonthNavigationToTheRight"
"","6090","Каждый пункт меню ведёт на соответствующую страницу (Calendar, Workouts, Reports и т.д.)","finalsurge","2026-07-25","passed","2026-07-25","tests.DashboardTest","thread2","tests.DashboardTest","checkClickNavMenu"
"","3234","Отображается страница фидбека и текст Provide Feedback","finalsurge","2026-07-25","passed","2026-07-25","tests.FeedBackTest","thread2","tests.FeedBackTest","checkFeedBackPage"
"","1387","Проверка валидации некорректного email","finalsurge","2026-07-25","passed","2026-07-25","tests.RegisterTest","thread1","tests.RegisterTest","checkValidMessageForEmailForRegistration"
"","8637","График показывает длительность тренировок по месяцам / неделям","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutReportTest","thread2","tests.WorkoutReportTest","checkReportForActivityButton"
"","1207","Авторизация с email, которого нет в системе. Сообщение об ошибке: `""Invalid login credentials. Please try again.""`","finalsurge","2026-07-25","passed","2026-07-25","tests.LoginTest","thread1","tests.LoginTest","checkUnregisteredLogin"
"","3068","Авторизация с password, которого нет в системе. Сообщение об ошибке: `""Invalid login credentials. Please try again.""`","finalsurge","2026-07-25","passed","2026-07-25","tests.LoginTest","thread1","tests.LoginTest","checkUnregisteredPassword"
"","1099","Проверка валидации пустых полей","finalsurge","2026-07-25","passed","2026-07-25","tests.RegisterTest","thread1","tests.RegisterTest","checkValidMessagesForEmptyRegistration"
"","6370","Поле   принимает  текст, сохраняется ","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkCreateWorkout"
"","3901","При выборе типа активности данные на графиках и в таблице фильтруются","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutReportTest","thread2","tests.WorkoutReportTest","checkReportForActivity"
"","3807","Календарь показывается, дни корректно распределены по сетке","finalsurge","2026-07-25","passed","2026-07-25","tests.CalendarTest","thread1","tests.CalendarTest","checkCalendarExistence"
"","36475","Создаётся копия тренировки с теми же параметрами","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkCopyWorkout"
"","7180","Виджет показывает неделю и уменьшенный календарь","finalsurge","2026-07-25","passed","2026-07-25","tests.DashboardTest","thread2","tests.DashboardTest","checkWeeklySummary"
"","7375","Успешный вход с валидными email и паролем","finalsurge","2026-07-25","passed","2026-07-25","tests.LoginTest","thread1","tests.LoginTest","checkSuccessfullLogin"
"","11331","Отображается сообщение об успешной отправке фидбека","finalsurge","2026-07-25","passed","2026-07-25","tests.FeedBackTest","thread2","tests.FeedBackTest","checkSendFeedBack"
"","2638","Страница Default: отображается блок Training Volume","finalsurge","2026-07-25","passed","2026-07-25","tests.DashboardTest","thread2","tests.DashboardTest","checkMainLogo"
"","7765","Отображаются: имя, email, фото профиля","finalsurge","2026-07-25","passed","2026-07-25","tests.UserProfileTest","thread1","tests.UserProfileTest","checkUserProfilePage"
"","7907","Таблица с агрегированными данными: кол-во тренировок, общая дистанция, длительность","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutReportTest","thread2","tests.WorkoutReportTest","checkReportForListView"
"","5998","Ссылка sign in. Проверка перехода на страницу регистрации","finalsurge","2026-07-25","passed","2026-07-25","tests.LoginTest","thread1","tests.LoginTest","checkRegistration"
"","6086","Успешный переход на страницу дашборда","finalsurge","2026-07-25","passed","2026-07-25","tests.DashboardTest","thread2","tests.DashboardTest","openDashboardPage"
"","8901","В ячейках дней с тренировками отображается  метка типа активности","finalsurge","2026-07-25","passed","2026-07-25","tests.CalendarTest","thread1","tests.CalendarTest","checkActivityLabelExistence"
"","24706","Выбор языка типа тренировки","finalsurge","2026-07-25","passed","2026-07-25","tests.UserProfileTest","thread1","tests.UserProfileTest","checkSettingsLanguageChange"
"","2352","Чекбокс Remember me: отображается, не прожат. После клика прожат","finalsurge","2026-07-25","passed","2026-07-25","tests.LoginTest","thread1","tests.LoginTest","loginWithRememberMeCheckbox"
"","1555","Авторизация с пустым полем password. Ошибка входа: пустое поле Password","finalsurge","2026-07-25","passed","2026-07-25","tests.LoginTest","thread1","tests.LoginTest","checkLoginWithEmptyPassword"
"","19123","Настройки видимости профиля сохраняются","finalsurge","2026-07-25","passed","2026-07-25","tests.UserProfileTest","thread1","tests.UserProfileTest","checkPrivacy"
"","19110","После выбора файла изображение отображается в профиле","finalsurge","2026-07-25","passed","2026-07-25","tests.UserProfileTest","thread1","tests.UserProfileTest","checkAvatarUploaded"
"","28108","После изменения полей и сохранения данные обновляются","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkUpdateWorkout"
"","12166","Поля Title и Description принимают текст, сохраняются после создания","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkTtitleDescriptionExistence"
"","3423","Редирект на Can/t sign in: запросить email","finalsurge","2026-07-25","passed","2026-07-25","tests.LoginTest","thread1","tests.LoginTest","checkRequestNewPassword"
"","2930","При нажатии стрелки месяц корректно переключается назад ","finalsurge","2026-07-25","passed","2026-07-25","tests.CalendarTest","thread1","tests.CalendarTest","checkCalendarMonthNavigationToTheLeft"
"","5993","Появляется диалог подтверждения; после Cancel тренировка не удаляется","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkCancelDeleteWorkout"
"","10880","После сохранения новое имя отображается в профиле и шапке сайта","finalsurge","2026-07-25","passed","2026-07-25","tests.UserProfileTest","thread1","tests.UserProfileTest","checkEditNameSurname"
"","21640","Проверка перехода на страницу логина","finalsurge","2026-07-25","passed","2026-07-25","tests.RegisterTest","thread1","tests.RegisterTest","checkLoginLink"
