"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","2","UserProfile component","6","0","","0"
"0","","5","WorkoutReport component","0","0","","0"
"0","","2","Workouts component","10","0","","0"
"0","","4","Calendar component","4","0","","0"
"0","","0","Login component","11","0","","0"
"0","","0","Register component","5","0","","0"
"0","","8","Dashboard component","0","0","","0"
"0","","4","DailyVitals component","1","0","","0"
"0","","2","FeedBack component","0","0","","0"
"0","","1","CustomerSupport component","0","0","","0"
