"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10409","Настройки видимости профиля сохраняются","finalsurge","2026-07-21","passed","2026-07-21","tests.UserProfileTest","thread1","tests.UserProfileTest","checkPrivacy"
"","3673","При выборе даты данные на графиках и в таблице фильтруются по неделе","finalsurge","2026-07-21","failed","2026-07-21","tests.WorkoutReportTest","thread2","tests.WorkoutReportTest","checkReportForWeek"
"","5893","При выборе типа активности отображаются тренировки этого типа","finalsurge","2026-07-21","passed","2026-07-21","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkfilterWorkoutOnActivity"
"","4092","Разные типы активности (Run, Bike, Swim, Custom) отображаются разными цветами","finalsurge","2026-07-21","passed","2026-07-21","tests.CalendarTest","thread1","tests.CalendarTest","checkActivityColors"
"","3666","Нет бокового календаря ","finalsurge","2026-07-21","passed","2026-07-21","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkCancelButton"
"","4800","Таблица с агрегированными данными: кол-во тренировок, общая дистанция, длительность","finalsurge","2026-07-21","failed","2026-07-21","tests.WorkoutReportTest","thread2","tests.WorkoutReportTest","checkReportForListView"
"","1453","Авторизация с пустым полем login. Ошибка входа: пустое поле Email","finalsurge","2026-07-21","passed","2026-07-21","tests.LoginTest","thread1","tests.LoginTest","checkLoginWithEmptyLogin"
"","3470","Календарь показывается, дни корректно распределены по сетке","finalsurge","2026-07-21","passed","2026-07-21","tests.CalendarTest","thread1","tests.CalendarTest","checkCalendarExistence"
"","1673","Проверка валидации слабого пароля","finalsurge","2026-07-21","passed","2026-07-21","tests.RegisterTest","thread1","tests.RegisterTest","checkValidMessageForWeakPassword"
"","1907","Успешный переход на страницу дашборда","finalsurge","2026-07-21","failed","2026-07-21","tests.DashboardTest","thread2","tests.DashboardTest","openDashboardPage"
"","12632","Страница TeamForum: красное инфосообщение на странице об органичении доступа","finalsurge","2026-07-21","failed","2026-07-21","tests.DashboardTest","thread2","tests.DashboardTest","checkMessageBoardPage"
"","12695","Дата выбирается через календарь ","finalsurge","2026-07-21","failed","2026-07-21","tests.DailyVitalsTest","thread2","tests.DailyVitalsTest","checkSelectDate"
