"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3763","Появляется диалог подтверждения; после Cancel тренировка не удаляется","finalsurge","2026-07-22","passed","2026-07-22","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkCancelDeleteWorkout"
"","1151","Авторизация с пустым полем password. Ошибка входа: пустое поле Password","finalsurge","2026-07-22","passed","2026-07-22","tests.LoginTest","thread1","tests.LoginTest","checkLoginWithEmptyPassword"
"","3996","Открывается модальное окно или страница с деталями тренировки","finalsurge","2026-07-22","passed","2026-07-22","tests.CalendarTest","thread1","tests.CalendarTest","checkFullCalendarCell"
"","3522","Отображается сообщение об успешной отправке фидбека","finalsurge","2026-07-22","passed","2026-07-22","tests.FeedBackTest","thread2","tests.FeedBackTest","checkSendFeedBack"
"","3639","Появляется форма быстрого добавления тренировки на выбранную дату","finalsurge","2026-07-22","passed","2026-07-22","tests.CalendarTest","thread1","tests.CalendarTest","checkEmptyCalendarCell"
"","7542","Поля Title и Description принимают текст, сохраняются после создания","finalsurge","2026-07-22","passed","2026-07-22","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkTtitleDescriptionExistence"
"","4205","Календарь показывается, дни корректно распределены по сетке","finalsurge","2026-07-22","passed","2026-07-22","tests.CalendarTest","thread1","tests.CalendarTest","checkCalendarExistence"
"","9582","После выбора файла изображение отображается в профиле","finalsurge","2026-07-22","passed","2026-07-22","tests.UserProfileTest","thread1","tests.UserProfileTest","checkAvatarUploaded"
"","13822","Виджет показывает неделю и уменьшенный календарь","finalsurge","2026-07-22","failed","2026-07-22","tests.DashboardTest","thread2","tests.DashboardTest","checkWeeklySummary"
"","4153","После подтверждения запись отредактирована","finalsurge","2026-07-22","passed","2026-07-22","tests.DailyVitalsTest","thread2","tests.DailyVitalsTest","checkEdditVital"
"","17015","Выбор языка типа тренировки","finalsurge","2026-07-22","passed","2026-07-22","tests.UserProfileTest","thread1","tests.UserProfileTest","checkSettingsLanguageChange"
"","4960","После изменения полей и сохранения данные обновляются","finalsurge","2026-07-22","failed","2026-07-22","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkUpdateWorkout"
"","9775","Чекбоксы вкл/выкл сохраняются, настройки применяются ","finalsurge","2026-07-22","passed","2026-07-22","tests.UserProfileTest","thread1","tests.UserProfileTest","checkNotification"
"","7153","Каждый пункт меню ведёт на соответствующую страницу (Calendar, Workouts, Reports и т.д.)","finalsurge","2026-07-22","passed","2026-07-22","tests.DashboardTest","thread2","tests.DashboardTest","checkClickNavMenu"
"","4294","При выборе типа активности данные на графиках и в таблице фильтруются","finalsurge","2026-07-22","failed","2026-07-22","tests.WorkoutReportTest","thread2","tests.WorkoutReportTest","checkReportForActivity"
"","3744","Отображается страница фидбека и текст Provide Feedback","finalsurge","2026-07-22","passed","2026-07-22","tests.FeedBackTest","thread2","tests.FeedBackTest","checkFeedBackPage"
"","3420","Нет бокового календаря ","finalsurge","2026-07-22","passed","2026-07-22","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkCancelButton"
"","15834","Авторизация с пустыми полями login и password. Ошибка входа: пустое поле Email. Ошибка входа: пустое поле Password ","finalsurge","2026-07-22","passed","2026-07-22","tests.LoginTest","thread1","tests.LoginTest","checkLoginWithEmptyFields"
"","2802","В ячейках дней с тренировками отображается  метка типа активности","finalsurge","2026-07-22","passed","2026-07-22","tests.CalendarTest","thread1","tests.CalendarTest","checkActivityLabelExistence"
"","13459","При выборе типа активности отображаются тренировки этого типа","finalsurge","2026-07-22","failed","2026-07-22","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkfilterWorkoutOnActivity"
"","1740","Проверка валидации некорректного email","finalsurge","2026-07-22","passed","2026-07-22","tests.RegisterTest","thread1","tests.RegisterTest","checkValidMessageForEmailForRegistration"
"","3108","Страница Default: отображается блок Training Volume","finalsurge","2026-07-22","failed","2026-07-22","tests.DashboardTest","thread2","tests.DashboardTest","checkMainLogo"
"","4712","Дропдаун работает и ведёт на соответствующую страницу","finalsurge","2026-07-22","passed","2026-07-22","tests.DashboardTest","thread2","tests.DashboardTest","checkDropdownsOnPAge"
