"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","UserProfile component","8","0","","0"
"0","","0","Login component","11","0","","0"
"0","","0","Register component","5","0","","0"
"0","","0","Calendar component","8","0","","0"
"0","","0","WorkoutReport component","5","0","","0"
"0","","0","Dashboard component","8","0","","0"
"0","","0","FeedBack component","2","0","","0"
"0","","1","Workouts component","11","0","","0"
"0","","0","DailyVitals component","5","0","","0"
"0","","0","CustomerSupport component","1","0","","0"
